Temp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Millis
27.26,0.06494,-0.03174,1.00195,0.09155,-0.39673,-0.06104,6198
27.26,0.06494,-0.03125,1.00049,0.03052,-0.42725,0.00000,6203
27.27,0.06445,-0.03027,0.99854,0.12207,-0.39673,-0.03052,6209
27.27,0.06445,-0.03027,0.99854,0.09155,-0.36621,-0.09155,6214
27.27,0.06445,-0.02979,0.99707,0.06104,-0.36621,-0.03052,6220
27.27,0.06445,-0.02979,0.99707,0.15259,-0.39673,0.03052,6225
27.26,0.06396,-0.03076,0.99756,0.06104,-0.36621,-0.06104,6230
27.26,0.06396,-0.03076,0.99756,0.09155,-0.33569,-0.12207,6236
27.26,0.06396,-0.03076,0.99902,0.06104,-0.24414,-0.12207,6241
27.27,0.06396,-0.03076,0.99902,0.03052,-0.27466,-0.03052,6247
27.27,0.06445,-0.03125,1.00000,0.03052,-0.24414,0.06104,6252
27.27,0.06445,-0.03174,1.00098,0.12207,-0.27466,-0.09155,6258
27.27,0.06445,-0.03174,1.00098,0.03052,-0.42725,-0.09155,6263
27.29,0.06396,-0.03174,1.00293,0.15259,-0.30518,-0.09155,6269
27.29,0.06396,-0.03174,1.00293,0.06104,-0.24414,-0.09155,6274
27.30,0.06445,-0.03076,1.00342,0.06104,-0.27466,0.00000,6280
27.30,0.06445,-0.03076,1.00342,0.12207,-0.33569,-0.09155,6285
27.25,0.06494,-0.03076,1.00195,0.12207,-0.39673,-0.03052,6290
27.28,0.06494,-0.03076,1.00195,0.03052,-0.36621,-0.09155,6296
27.28,0.06494,-0.03076,1.00098,0.06104,-0.30518,-0.06104,6301
27.26,0.06494,-0.03076,1.00098,0.00000,-0.24414,-0.03052,6307
27.26,0.06445,-0.03027,1.00049,0.12207,-0.15259,-0.09155,6312
27.29,0.06348,-0.03027,1.00049,0.03052,-0.21362,-0.15259,6318
27.29,0.06348,-0.03027,1.00049,0.06104,-0.33569,0.00000,6323
27.28,0.06299,-0.02979,1.00049,0.03052,-0.33569,-0.12207,6329
27.28,0.06299,-0.02979,1.00049,0.06104,-0.36621,-0.12207,6334
27.27,0.06348,-0.03027,1.00000,-0.03052,-0.30518,-0.03052,6339
27.27,0.06348,-0.03027,1.00000,0.09155,-0.27466,-0.09155,6345
27.30,0.06445,-0.03125,1.00049,0.09155,-0.30518,-0.15259,6350
27.29,0.06445,-0.03125,1.00049,0.06104,-0.36621,-0.12207,6356
27.29,0.06543,-0.03174,1.00195,0.09155,-0.30518,-0.18311,6361
27.29,0.06543,-0.03174,1.00195,0.09155,-0.30518,-0.06104,6367
27.29,0.06543,-0.03223,1.00293,0.15259,-0.33569,-0.03052,6372
27.29,0.06494,-0.03223,1.00342,0.15259,-0.27466,-0.06104,6378
27.29,0.06494,-0.03223,1.00342,0.03052,-0.21362,-0.06104,6383
27.31,0.06445,-0.03174,1.00195,-0.03052,-0.36621,-0.06104,6389
27.31,0.06445,-0.03174,1.00195,0.12207,-0.39673,0.03052,6394
27.31,0.06494,-0.03076,1.00049,0.03052,-0.33569,-0.06104,6400
27.31,0.06494,-0.03076,1.00049,-0.03052,-0.33569,-0.09155,6405
27.28,0.06543,-0.03027,1.00000,0.12207,-0.36621,-0.12207,6411
27.32,0.06543,-0.03027,1.00000,0.06104,-0.33569,-0.06104,6416
27.32,0.06494,-0.03027,1.00000,0.00000,-0.30518,-0.03052,6422
27.29,0.06494,-0.03076,1.00049,0.03052,-0.39673,-0.06104,6427
27.29,0.06494,-0.03076,1.00049,0.03052,-0.30518,0.00000,6433
27.29,0.06494,-0.03125,1.00098,0.15259,-0.21362,-0.03052,6438
27.29,0.06494,-0.03125,1.00098,0.03052,-0.21362,-0.12207,6443
27.29,0.06543,-0.03125,1.00098,0.12207,-0.27466,-0.12207,6449
27.29,0.06543,-0.03125,1.00098,0.03052,-0.27466,-0.03052,6454
27.32,0.06592,-0.03174,1.00146,0.06104,-0.30518,-0.06104,6460
27.28,0.06592,-0.03174,1.00146,0.09155,-0.33569,-0.09155,6465
27.28,0.06543,-0.03174,1.00195,-0.03052,-0.33569,-0.09155,6471
27.27,0.06543,-0.03174,1.00195,0.03052,-0.24414,-0.12207,6476
27.27,0.06543,-0.03174,1.00244,0.00000,-0.36621,-0.09155,6482
27.27,0.06543,-0.03125,1.00195,0.03052,-0.39673,-0.03052,6487
27.27,0.06543,-0.03125,1.00195,0.06104,-0.27466,-0.06104,6493
27.31,0.06543,-0.03076,1.00098,0.03052,-0.21362,0.03052,6498
27.31,0.06543,-0.03076,1.00098,0.06104,-0.30518,-0.03052,6504
27.32,0.06543,-0.03076,1.00049,0.09155,-0.30518,-0.06104,6509
27.32,0.06543,-0.03076,1.00049,0.12207,-0.27466,-0.03052,6514
27.29,0.06494,-0.03076,1.00049,0.03052,-0.21362,-0.09155,6520
27.26,0.06494,-0.03076,1.00049,-0.03052,-0.27466,-0.15259,6525
27.26,0.06445,-0.03125,1.00049,0.00000,-0.33569,-0.15259,6531
27.30,0.06348,-0.03125,1.00000,0.09155,-0.24414,0.00000,6536
27.30,0.06348,-0.03125,1.00000,0.03052,-0.24414,-0.09155,6542
27.30,0.06396,-0.03076,0.99951,0.09155,-0.33569,-0.06104,6547
27.30,0.06396,-0.03076,0.99951,0.06104,-0.27466,-0.12207,6553
27.32,0.06445,-0.03027,1.00049,0.03052,-0.33569,-0.12207,6558
27.32,0.06445,-0.03027,1.00049,0.03052,-0.33569,-0.06104,6564
27.31,0.06494,-0.03076,1.00195,0.24414,-0.24414,-0.03052,6569
27.28,0.06494,-0.03076,1.00195,0.18311,-0.30518,-0.06104,6575
27.28,0.06592,-0.03125,1.00195,0.09155,-0.39673,-0.09155,6580
27.30,0.06592,-0.03125,1.00195,0.15259,-0.21362,0.00000,6585
27.30,0.06641,-0.03125,1.00098,0.06104,-0.24414,-0.12207,6591
27.33,0.06494,-0.03076,1.00049,0.06104,-0.36621,0.00000,6596
27.33,0.06494,-0.03076,1.00049,0.15259,-0.24414,-0.03052,6602
27.27,0.06445,-0.03027,1.00049,-0.03052,-0.30518,-0.06104,6607
