Temp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Millis
27.29,0.08691,-0.02832,0.99854,0.12207,-0.30518,-0.06104,10603
27.25,0.08691,-0.02881,0.99854,0.00000,-0.21362,-0.03052,10608
27.29,0.08691,-0.02881,0.99854,0.09155,-0.24414,-0.06104,10614
27.29,0.08691,-0.02930,0.99902,0.03052,-0.21362,-0.03052,10619
27.24,0.08691,-0.02930,0.99902,0.12207,-0.33569,0.00000,10625
27.24,0.08740,-0.02979,0.99902,0.03052,-0.24414,-0.09155,10630
27.26,0.08691,-0.02979,0.99902,-0.03052,-0.27466,-0.15259,10636
27.26,0.08691,-0.02979,0.99902,-0.15259,-0.24414,-0.09155,10641
27.28,0.08643,-0.02930,0.99951,0.00000,-0.24414,-0.12207,10647
27.28,0.08643,-0.02930,0.99951,-0.06104,-0.21362,-0.12207,10653
27.25,0.08643,-0.02832,0.99951,0.06104,-0.15259,-0.03052,10658
27.27,0.08643,-0.02832,0.99951,0.15259,-0.21362,-0.03052,10664
27.27,0.08691,-0.02832,0.99854,0.03052,-0.33569,-0.06104,10669
27.28,0.08691,-0.02832,0.99854,-0.03052,-0.21362,-0.06104,10675
27.28,0.08691,-0.02832,0.99854,-0.03052,-0.24414,0.00000,10681
27.27,0.08691,-0.02832,0.99902,0.06104,-0.36621,-0.09155,10686
27.27,0.08691,-0.02832,0.99902,0.06104,-0.27466,-0.06104,10692
27.27,0.08643,-0.02832,0.99902,0.03052,-0.27466,-0.06104,10697
27.27,0.08643,-0.02832,0.99902,-0.09155,-0.24414,-0.06104,10703
27.26,0.08643,-0.02783,0.99902,0.15259,-0.27466,-0.06104,10708
27.23,0.08643,-0.02783,0.99902,0.06104,-0.21362,-0.09155,10714
27.23,0.08691,-0.02832,1.00000,-0.06104,-0.27466,-0.15259,10719
27.27,0.08691,-0.02832,1.00000,0.03052,-0.21362,-0.03052,10725
27.27,0.08691,-0.02832,1.00000,0.09155,-0.30518,-0.03052,10731
27.28,0.08643,-0.02832,0.99951,0.09155,-0.24414,-0.18311,10736
27.28,0.08643,-0.02832,0.99951,-0.03052,-0.24414,-0.15259,10742
27.28,0.08691,-0.02881,1.00000,0.15259,-0.33569,0.00000,10747
27.27,0.08691,-0.02881,1.00000,0.06104,-0.27466,-0.09155,10753
27.27,0.08691,-0.02930,1.00000,-0.03052,-0.24414,-0.12207,10758
27.28,0.08691,-0.02930,1.00000,0.09155,-0.21362,-0.03052,10764
27.28,0.08643,-0.02881,1.00000,0.00000,-0.27466,0.00000,10770
27.26,0.08643,-0.02832,0.99951,0.00000,-0.27466,-0.12207,10775
27.26,0.08643,-0.02832,0.99951,0.00000,-0.30518,-0.12207,10781
27.29,0.08740,-0.02881,0.99951,0.00000,-0.36621,-0.09155,10786
